unicode,Kanji,Definition,On Readings,Kun Readings
U+6E9D,溝,"gutter, ditch, sewer, drain, 10**32",コウ,みぞ
U+6EA2,溢,"overflow, inundate, spill",イツ,"こぼ.れる, あふ.れる, み.ちる"
U+6EBA,溺,"drown, indulge","デキ, ジョウ, ニョウ","いばり, おぼ.れる"
U+6EC4,滄,ocean,ソウ,
U+6EC5,滅,"destroy, ruin, overthrow, perish",メツ,"ほろ.びる, ほろ.ぶ, ほろ.ぼす"
U+6ED1,滑,"slippery, slide, slip, fail exam","カツ, コツ","すべ.る, なめ.らか"
U+6ED3,滓,"dregs, grounds","シ, サイ","おり, かす"
U+6EDD,滝,"waterfall, rapids, cascade","ロウ, ソウ",たき
U+6EF4,滴,"drip, drop",テキ,"しずく, したた.る"
U+6EF8,滸,vicinity,コ,ほとり
U+6EFF,滿,"fill, full, satisfied","マン, バン","み.ちる, み.つ, み.たす"
U+6F01,漁,"fishing, fishery","ギョ, リョウ",あさ.る
U+6F02,漂,"drift, float (on liquid)",ヒョウ,ただよ.う
U+6F06,漆,"lacquer, varnish, seven",シツ,うるし
U+6F09,漉,"manufacture paper, spread out thin, strain, percolate",ロク,"こ.し, こ.す, す.く"
U+6F0F,漏,"leak, escape, time",ロウ,"も.る, も.れる, も.らす"
U+6F14,演,"performance, act, play, render, stage",エン,
U+6F15,漕,"rowing, scull, paddle",ソウ,"こ.ぐ, はこ.ぶ"
U+6F22,漢,"Sino-, China",カン,
U+6F23,漣,ripples,"レン, ラン",さざなみ
U+6F2B,漫,"cartoon, involuntarily, unrestrained, in spite of oneself, corrupt",マン,"みだり.に, そぞ.ろ"
U+6F2C,漬,"pickling, soak, moisten, steep",シ,"つ.ける, つ.かる, -づ.け, -づけ"
U+6F32,漲,overflow,チョウ,みなぎ.る
U+6F38,漸,"steadily, gradually advancing, finally, barely",ゼン,"ようや.く, やや, ようよ.う, すす.む"
U+6F3B,漻,,"リョウ, リュウ, ル",
U+6F3F,漿,a drink,ショウ,こんず
U+6F45,潅,"pour into, irrigate, shed (tears), flow into, concentrate on",カン,そそ.ぐ
U+6F54,潔,"undefiled, pure, clean, righteous, gallant",ケツ,いさぎよ.い
U+6F5B,潛,"conceal, hide, lower (voice), hush",セン,"ひそ.む, もぐ.る, かく.れる, くぐ.る, ひそ.める"
U+6F5C,潜,"submerge, conceal, hide, lower (voice), hush",セン,"ひそ.む, もぐ.る, かく.れる, くぐ.る, ひそ.める"
U+6F5F,潟,lagoon,セキ,"かた, -がた"
U+6F64,潤,"wet, be watered, profit by, receive benefits, favor, charm, steep",ジュン,"うるお.う, うるお.す, うる.む"
U+6F66,潦,"heavy rainfall, runoff",ロウ,にわたずみ
U+6F6E,潮,"tide, salt water, opportunity",チョウ,"しお, うしお"
U+6F6F,潯,"shore, banks",ジン,ふち
U+6F70,潰,"crush, smash, break, dissipate","カイ, エ","つぶ.す, つぶ.れる, つい.える"
U+6F78,潸,flowing of tears,サン,
U+6F84,澄,"lucidity, be clear, clear, clarify, settle, strain, look grave",チョウ,"す.む, す.ます, -す.ます"
U+6FA1,澡,wash,ソウ,あら.う
U+6FA4,澤,swamp,タク,"さわ, うるお.い, うるお.す, つや"
U+6FB3,澳,"curving shoreline, bend in river","オウ, イク, オク","おき, くま"
U+6FC1,濁,"voiced, uncleanness, wrong, nigori, impurity","ダク, ジョク","にご.る, にご.す"
U+6FC2,濂,name of Chinese river,レン,
U+6FC3,濃,"concentrated, thick, dark, undiluted",ノウ,こ.い
U+6FD5,濕,"wet, moist, humid, damp, an illness","シツ, シュウ","しめ.る, しめ.す, うるお.う, うるお.す"
U+6FDF,濟,"to help, aid, relieve, to ferry, cross","サイ, セイ","す.む, す.ます, すく.う, な.す, わた.す, わた.る"
U+6FE1,濡,"get wet, damp, make love","ジュ, ニュ","ぬれ.る, ぬら.す, ぬ.れる, ぬ.らす, うるお.い, うるお.う, うるお.す"
U+6FEB,濫,"excessive, overflow, spread out",ラン,"みだ.りに, みだ.りがましい"
U+6FEF,濯,"laundry, wash, pour on, rinse",タク,"すす.ぐ, ゆす.ぐ"
U+6FF1,濱,"beach, sea coast, river bank",ヒン,はま
U+6FF5,濵,"bank, brink, shore, beach",ヒン,はま
U+7009,瀉,evacuation,シャ,"くだ.す, は.く"
U+7027,瀧,"waterfall, rapids, cascade","ロウ, ソウ",たき
U+702C,瀬,"rapids, current, torrent, shallows, shoal",ライ,せ
U+7030,瀰,"copious flow, broad, extensive","ビ, ミ",
U+7058,灘,open sea,"タン, ダン","なだ, せ"
U+706B,火,fire,カ,"ひ, -び, ほ-"
U+706F,灯,"lamp, a light, light, counter for lights",トウ,"ひ, ほ-, ともしび, とも.す, あかり"
U+7070,灰,"ashes, puckery juice, cremate",カイ,はい
U+7078,灸,"moxa cautery, chastisement","キュウ, ク",やいと
U+707D,災,"disaster, calamity, woe, curse, evil",サイ,わざわ.い
U+7089,炉,"hearth, furnace, kiln, reactor",ロ,いろり
U+708A,炊,"cook, boil",スイ,"た.く, -だ.き"
U+708E,炎,"inflammation, flame, blaze",エン,ほのお
U+7092,炒,"broil, parch, roast, fry","ソウ, ショウ","い.る, いた.める"
U+7099,炙,"roast, broil, toast, cauterize","シャ, セキ",あぶ.る
U+70AC,炬,"torch, signal fire","コ, キョ",
U+70AD,炭,"charcoal, coal",タン,すみ
U+70AE,炮,"burn, roast",ホウ,あぶ.る
U+70B3,炳,clear & bright,ヘイ,あきらか
U+70B9,点,"spot, point, mark, speck, decimal point",テン,"つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち"
U+70BA,為,"do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of",イ,"ため, な.る, な.す, す.る, たり, つく.る, なり"
U+70C8,烈,"ardent, violent, vehement, furious, severe, extreme",レツ,はげ.しい
U+70CF,烏,"crow, raven","ウ, オ","からす, いずくんぞ, なんぞ"
U+70D9,烙,burn,"ラク, カク",や.く
U+70DF,烟,smoke,エン,"けむ.る, けむり, けむ.い"
U+70F9,烹,"boil, cook",ホウ,に.る
U+7109,焉,"how, why, then",エン,"いずく.んぞ, ここに, これ"
U+7114,焔,"flame, blaze",エン,ほのお
U+7119,焙,"fire, roast","ホウ, ハイ","ほう.じる, あぶ.る"
U+711A,焚,"burn, kindle, build a fire, boil, cook","フン, ホン, ハン","た.く, や.く, やきがり"
U+7121,無,"nothingness, none, ain't, nothing, nil, not","ム, ブ",な.い
U+7126,焦,"char, hurry, impatient, irritate, burn, scorch, singe",ショウ,"こ.げる, こ.がす, こ.がれる, あせ.る, じ.れる, じ.らす"
U+7136,然,"sort of thing, so, if so, in that case, well","ゼン, ネン","しか, しか.り, しか.し, さ"
U+713C,焼,"bake, burning",ショウ,"や.く, や.き, や.き-, -や.き, や.ける"
U+7149,煉,"refine metals, kneading over fire",レン,ね.る
U+714E,煎,"broil, parch, roast, boil",セン,"せん.じる, い.る, に.る"
U+7156,煖,warm,"ダン, カン, ケン, ナン","あたた.か, あたた.める"
U+7159,煙,smoke,エン,"けむ.る, けむり, けむ.い"
U+7164,煤,"soot, smoke dried","バイ, マイ",すす
U+7165,煥,shine,カン,あきらか
U+7167,照,"illuminate, shine, compare, bashful",ショウ,"て.る, て.らす, て.れる"
U+7169,煩,"anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome","ハン, ボン","わずら.う, わずら.わす, うるさ.がる, うるさ.い"
U+716C,煬,"roast, burn",ヨウ,"あぶ.る, や.く"
U+716E,煮,"boil, cook",シャ,"に.る, -に, に.える, に.やす"
U+717B,煻,,,
U+7187,熇,bake,"コク, カク, コウ",あつ.い
U+718A,熊,bear,ユウ,くま
U+719F,熟,"mellow, ripen, mature, acquire skill",ジュク,う.れる
U+71A8,熨,"flatiron, smooth out","イ, ウツ","のし, おさ.える, の.す, ひのし"
U+71AC,熬,"parch, roast",ゴウ,い.る
U+71B1,熱,"heat, temperature, fever, mania, passion",ネツ,あつ.い
U+71BE,熾,kindling fire,シ,"おこ.る, おこ.す, さかん"
U+71C3,燃,"burn, blaze, glow",ネン,"も.える, も.やす, も.す"
U+71C8,燈,"lamp, light, counter for lights",トウ,"ひ, ほ-, ともしび, とも.す, あかり"
U+71D2,燒,"burn, bake, heat, roast",ショウ,"や.く, や.ける"
U+71D5,燕,swallow (bird),エン,"つばめ, つばくら, つばくろ"
U+71D7,燗,warming sake,"ラン, カン",かん.する
U+71DF,營,"camp, perform, build, conduct (business)",エイ,"いとな.む, いとな.み"
U+71E5,燥,"parch, dry up",ソウ,はしゃ.ぐ
U+71E7,燧,signal fire,スイ,"ひうち, ひきり, のろし"
U+71ED,燭,"light, candlepower","ソク, ショク",ともしび
U+71F5,燵,"foot warmer, (kokuji)",タツ,
U+71FF,燿,shine,ヨウ,"かがや.く, ひかり"
U+7208,爈,,"リョ, ロ","や.く, やまび"
U+7210,爐,"fireplace, stove, oven, furnace",ロ,いろり
U+721B,爛,"be sore, inflamed, bleary, fester",ラン,ただ.れる
U+722A,爪,"claw, nail, talon",ソウ,"つめ, つま-"
U+722C,爬,"scratch, crawl",ハ,"か.く, は.う"
U+722D,爭,"to dispute, fight, contend, strive",ソウ,"あらそ.う, いか.でか"
U+7230,爰,"lead on to, therefore, then",エン,ここ.に
U+7232,爲,"change, be of use, reach to, do, try, practice, cost, serve as",イ,"ため, な.る, な.す, す.る, たり, つく.る, なり"
U+7235,爵,"baron, peerage, court rank",シャク,
U+7236,父,father,フ,ちち
U+7239,爹,"father, daddy",タ,
U+723A,爺,"old man, grampa",ヤ,"じい, じじい, おやじ, じじ, ちち"
U+723C,爼,"altar of sacrifice, chopping board","ソ, ショ",まないた
U+723D,爽,"refreshing, bracing, resonant, sweet, clear",ソウ,"あき.らか, さわ.やか, たがう"
U+723E,爾,"you, thou, second person","ジ, ニ","なんじ, しかり, その, のみ, おれ, しか"
U+7240,牀,"bed, couch, bench, chassis","ショウ, ソウ",ゆか
U+7246,牆,"fence, hedge, wall",ショウ,かき
U+7247,片,"one-sided, leaf, sheet, right-side kata radical (no. 91)",ヘン,"かた-, かた"
U+7248,版,"printing block, printing plate, edition, impression, label",ハン,
U+724C,牌,"label, signboard, medal, mahjong tiles",ハイ,"ぱい, ふだ"
U+7252,牒,"label, genealogy, circular","チョウ, ジョウ",ふだ
U+7259,牙,"tusk, fang, tusk radical (no. 92)","ガ, ゲ","きば, は"
U+725B,牛,cow,ギュウ,うし
U+725D,牝,female,ヒン,"めす, め-, めん"
U+7261,牡,male,"ボ, ボウ","おす, お-, おん-"
U+7262,牢,"prison, jail, hardness",ロウ,"かた.い, ひとや"
U+7267,牧,"breed, care for, shepherd, feed, pasture",ボク,まき
U+7269,物,"thing, object, matter","ブツ, モツ","もの, もの-"
U+7279,特,special,トク,
U+727D,牽,"pull, tug, drag, lead by hand",ケン,ひ.く
U+7280,犀,rhinoceros,"サイ, セイ",
U+72A0,犠,sacrifice,"ギ, キ",いけにえ
U+72A2,犢,calf,トク,こうし
U+72AC,犬,dog,ケン,"いぬ, いぬ-"
U+72AF,犯,"crime, sin, offense","ハン, ボン",おか.す
U+72B6,状,"status quo, conditions, circumstances, form, appearance",ジョウ,
U+72C2,狂,"lunatic, insane, crazy, confuse",キョウ,"くる.う, くる.おしい, くるお.しい"
U+72C4,狄,barbarian,テキ,えびす
U+72CE,狎,"get used to, experienced, tamed","オウ, コウ","な.れる, あなど.る"
U+72D0,狐,fox,コ,きつね
U+72D7,狗,"puppy, dog","ク, コウ",いぬ
U+72DB,狛,"archaic part of Korea, lion-dog shrine guards",ハク,こま
U+72E9,狩,"hunt, raid, gather",シュ,"か.る, か.り, -が.り"
U+72EC,独,"single, alone, spontaneously, Germany","ドク, トク",ひと.り
U+72ED,狭,"cramped, narrow, contract, tight","キョウ, コウ","せま.い, せば.める, せば.まる, さ"
U+72F8,狸,"tanuki, raccoon","リ, ライ",たぬき
U+72F9,狹,"narrow, contract, reduce, tight, limited","キョウ, コウ","せま.い, せば.める, せば.まる, さ"
U+72FC,狼,wolf,ロウ,おおかみ
U+731B,猛,"fierce, rave, rush, become furious, wildness, strength",モウ,
U+731C,猜,"envy, jealousy, doubt",サイ,そね.む
U+731F,猟,"game-hunting, shooting, game, bag",リョウ,"かり, か.る"
U+7325,猥,obscene,ワイ,"みだ.ら, みだり.に"
U+7328,猨,ape,エン,さる
U+7329,猩,orangutan,"ショウ, セイ, ソウ",しょうじょう
U+732A,猪,boar,チョ,"い, いのしし"
U+732B,猫,cat,ビョウ,ねこ
U+732E,献,"offering, counter for drinks, present, offer","ケン, コン",たてまつ.る
U+7334,猴,monkey,コウ,さる
U+7336,猶,"furthermore, still, yet","ユウ, ユ",なお
U+733F,猿,monkey,エン,さる
U+7344,獄,"prison, jail",ゴク,
U+7345,獅,lion,シ,しし
U+734F,獏,tapir,"バク, ミャク",
U+7363,獣,"animal, beast",ジュウ,"けもの, けだもの"
U+7368,獨,"alone, spontaneously, Germany","ドク, トク",ひと.り
U+736C,獬,fabulous monster,"カイ, ゲ",
U+7372,獲,"seize, get, find, earn, acquire, can, may, able to",カク,え.る
U+7375,獵,"hunt, field sports","リョウ, レフ","かり, か.る"
U+7378,獸,"beast, animal, bestial",ジュウ,"けもの, けだもの"
U+737A,獺,otter,"ダツ, タツ","うそ, かわ, かわうそ"
U+737B,獻,"offer, present, show, display","ケン, コン",たてまつ.る
U+7384,玄,"mysterious, occultness, black, deep, profound",ゲン,"くろ, くろ.い"
U+7387,率,"ratio, rate, proportion, %, factor, lead, spearhead, command","ソツ, リツ, シュツ",ひき.いる
U+7389,玉,"jewel, ball",ギョク,"たま, たま-, -だま"
U+738B,王,"king, rule, magnate","オウ, -ノウ",
U+7396,玖,"beautiful black jewel, nine","キュウ, ク",
U+73B2,玲,sound of jewels,レイ,
U+73CA,珊,"coral, centimeter",サン,"センチ, さんち"
U+73CD,珍,"rare, curious, strange",チン,"めずら.しい, たから"
U+73E0,珠,"pearl, gem, jewel",シュ,たま
U+73ED,班,"squad, corps, unit, group",ハン,
U+73FE,現,"present, existing, actual",ゲン,"あらわ.れる, あらわ.す, うつつ, うつ.つ"
U+7403,球,"ball, sphere",キュウ,たま
U+7406,理,"logic, arrangement, reason, justice, truth",リ,ことわり
U+7409,琉,"precious stone, gem, lapis lazuli","リュウ, ル",
U+7422,琢,polish,タク,みが.く
U+7433,琳,"jewel, tinkling of jewelry",リン,
U+7434,琴,"harp, koto","キン, ゴン",こと
U+7459,瑙,"agate, onyx",ノウ,
U+745A,瑚,"ancestral offering receptacle, coral","コ, ゴ",
U+745E,瑞,congratulations,"ズイ, スイ","みず-, しるし"
U+7460,瑠,lapis lazuli,"ル, リュウ",
U+746A,瑪,"agate, onyx","メ, バ",
U+7483,璃,"glassy, lapis lazuli",リ,
U+74A7,璧,"sphere, ball",ヘキ,たま
U+74B0,環,"ring, circle, link, wheel",カン,わ
U+74BD,璽,emperor's seal,ジ,
U+74CA,瓊,"red jewel, beautiful jewel",ケイ,たま
U+74CF,瓏,"clarity, sound of jewels",ロウ,
U+74DC,瓜,melon,"カ, ケ",うり
U+74E0,瓠,gourd,"コ, カク",ひさご
U+74E2,瓢,gourd,ヒョウ,"ひさご, ふくべ"
U+74E6,瓦,"tile, gram",ガ,"かわら, ぐらむ"
U+74EE,瓮,"jar, jug, container",オウ,もたい
U+74F6,瓶,"bottle, vial, jar, jug, vat, urn",ビン,"かめ, へい"
U+7500,甀,,,
U+7511,甑,rice-steaming pot,"ソウ, ショウ",こしき
U+7515,甕,"jar, jug, vat",オウ,"かめ, みか"
U+7518,甘,"sweet, coax, pamper, be content, sugary",カン,"あま.い, あま.える, あま.やかす, うま.い"
U+751A,甚,"tremendously, very, great, exceedingly",ジン,"はなは.だ, はなは.だしい"
U+751C,甜,sweet,テン,"うま.い, あま.い"
U+751E,甞,"lick, lap up, burn up, taste, undergo, underrate, despise","ショウ, ジョウ","かつ.て, な.める"
U+751F,生,"life, genuine, birth","セイ, ショウ","い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う"
U+7523,産,"products, bear, give birth, yield, childbirth, native, property",サン,"う.む, う.まれる, うぶ-, む.す"
U+7528,用,"utilize, business, service, use, employ",ヨウ,もち.いる
U+752B,甫,"for the first time, not until","ホ, フ",はじ.めて
U+7530,田,"rice field, rice paddy",デン,た
U+7531,由,"wherefore, a reason","ユ, ユウ, ユイ","よし, よ.る"
U+7532,甲,"armor, high (voice), A grade, first class, former, instep, carapace","コウ, カン",きのえ
U+7533,申,"have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac",シン,"もう.す, もう.し-, さる"
U+7537,男,male,"ダン, ナン","おとこ, お"
U+753A,町,"town, village, block, street",チョウ,まち
U+753B,画,"brush-stroke, picture","ガ, カク, エ, カイ","えが.く, かく.する, かぎ.る, はかりごと, はか.る"
U+7544,畄,"fasten, halt, stop","リュウ, ル","と.める, と.まる, とど.める, とど.まる, るうぶる"
U+754C,界,"world, boundary",カイ,
U+7551,畑,"farm, field, garden, one's specialty, (kokuji)",,"はた, はたけ, -ばたけ"
U+7552,畒,"Chinese land measure, fields","ボウ, ホ, モ, ム","せ, うね"
U+7554,畔,"paddy ridge, levee",ハン,"あぜ, くろ, ほとり"
U+7559,留,"detain, fasten, halt, stop","リュウ, ル","と.める, と.まる, とど.める, とど.まる, るうぶる"
U+755A,畚,"basket, hamper",ホン,"もっこ, ふご"
U+755C,畜,"livestock, domestic fowl and animals",チク,
U+755D,畝,"furrow, thirty tsubo, ridge, rib","ボウ, ホ, モ, ム","せ, うね"
U+7560,畠,"field, farm, garden, (kokuji)",,"はたけ, はた"
U+7562,畢,"the end, finish",ヒツ,"おわ.る, あみ, おわ.り, ことごとく"
U+7565,略,"abbreviation, omission, outline, shorten, capture, plunder",リャク,"ほぼ, はぶ.く, おか.す, おさ.める, はかりごと, はか.る"
U+7566,畦,"rice paddy ridge, furrow, rib",ケイ,"あぜ, うね"
U+7567,畧,"abbreviation, omission, outline, shorten, capture, plunder",リャク,"ほぼ, おか.す, おさ.める, はかりごと, はか.る, はぶ.く"
U+756A,番,"turn, number in a series",バン,つが.い
U+756B,畫,"picture, sketch, drawing, stroke, mark, divide","ガ, カク, エ, カイ","えが.く, かく.する, かぎ.る, はかりごと, はか.る"
U+7570,異,"uncommon, different, queerness, strangeness, wonderful, curious, unusual",イ,"こと, こと.なる, け"
U+7573,畳,"tatami mat, counter for tatami mats, fold, shut up, do away with","ジョウ, チョウ","たた.む, たたみ, かさ.なる"
U+7576,當,"bear, accept, undertake, just",トウ,"あ.たる, あ.てる, まさ.に"
U+7578,畸,"difference, strange, cripple",キ,
U+757F,畿,"capital, suburbs of capital",キ,みやこ
U+758A,疊,"tatami, counter for tatami mats, fold, shut up, do away with","ジョウ, チョウ","たた.む, たたみ, かさ.なる, かさ.ねる"
U+758B,疋,"head, counter for animals","ヒキ, ショ, ソ, ヒツ",あし
U+758E,疎,"alienate, rough, neglect, shun, sparse, penetrate","ソ, ショ","うと.い, うと.む, まば.ら"
U+7591,疑,"doubt, distrust, be suspicious, question",ギ,うたが.う
U+75A3,疣,wart,"ユ, ユウ",いぼ
U+75AB,疫,epidemic,"エキ, ヤク",
U+75B1,疱,"smallpox, blister",ホウ,もがさ
U+75B2,疲,"exhausted, tire, weary",ヒ,"つか.れる, -づか.れ, つか.らす"
U+75B3,疳,children's diseases,カン,
U+75B5,疵,"crack, flaw, scratch, speck",シ,きず
U+75B9,疹,"measles, sickness","シン, チン",はしか
U+75BE,疾,rapidly,シツ,はや.い
U+75C5,病,"ill, sick","ビョウ, ヘイ","や.む, -や.み, やまい"
U+75D8,痘,"pox, smallpox",トウ,
U+75DB,痛,"pain, hurt, damage, bruise",ツウ,"いた.い, いた.む, いた.ましい, いた.める"
U+75DE,痞,"constipation, costiveness in chest or intestines",ヒ,つかえ
U+75E2,痢,diarrhea,リ,
U+75E9,痩,get thin,"ソウ, チュウ, シュウ, シュ",や.せる
U+75F0,痰,"sputum, phlegm",タン,
U+75F4,痴,"stupid, foolish",チ,"し.れる, おろか"
U+75FF,痿,"atrophy, go numb, be paralysed",イ,な.える
U+761F,瘟,contagious disease,オン,えやみ
U+7621,瘡,"wound, boil, syphilis","ソウ, ショウ",かさ
U+7624,瘤,"lump, swelling","リュウ, ル",こぶ
U+7627,瘧,"ague, intermittent fever","ギャク, ガク",おこり
U+7630,瘰,swollen neck glands,"ルイ, ラ, ライ",
U+7642,療,"heal, cure",リョウ,
U+7652,癒,"healing, cure, quench (thirst), wreak",ユ,"い.える, いや.す, い.やす"
U+7656,癖,"mannerism, habit, vice, trait, fault, kink",ヘキ,"くせ, くせ.に"
U+7669,癩,leprosy,ライ,
U+7678,癸,10th calendar sign,キ,みずのと
U+767A,発,"departure, discharge, publish, emit, start from, disclose, counter for gunshots","ハツ, ホツ","た.つ, あば.く, おこ.る, つか.わす, はな.つ"
U+767B,登,"ascend, climb up","トウ, ト, ドウ, ショウ, チョウ","のぼ.る, あ.がる"
U+767C,發,"departure, publish, emit, start from, disclose","ハツ, ホツ","た.つ, あば.く, おこ.る, つか.わす, はな.つ"
U+767D,白,white,"ハク, ビャク","しろ, しら-, しろ.い"
U+767E,百,hundred,"ヒャク, ビャク",もも
U+7682,皂,,,
U+7683,皃,"countenance, appearance","ボウ, バク","かたち, かたどる"
U+7684,的,"bull's eye, mark, target, object, adjective ending",テキ,まと
U+7686,皆,"all, everything",カイ,"みな, みんな"
U+7687,皇,emperor,"コウ, オウ",
U+7688,皈,"homecoming, arrive at, lead to, result in",キ,"かえ.る, かえ.す, おく.る, とつ.ぐ"
U+76AE,皮,"pelt, skin, hide, leather, skin radical (no. 107)",ヒ,かわ
U+76B7,皷,"drum, beat, rouse",コ,つづみ
U+76B9,皹,skin cracks or roughness,"クン, キン","ひび, あかぎれ"
U+76BA,皺,"wrinkles, creases, folds","シュウ, スウ","しわ, しぼ"
U+76BF,皿,"dish, a helping, plate",ベイ,さら
U+76C3,盃,"glass, cup",ハイ,さかずき
U+76C6,盆,"basin, lantern festival, tray",ボン,
U+76CA,益,"benefit, gain, profit, advantage","エキ, ヤク",ま.す
U+76D2,盒,covered utensil,コウ,"さら, ふたもの"
U+76D6,盖,"cover, lid, flap","ガイ, カイ, コウ","ふた, けだ.し, おお.う, かさ, かこう"
U+76D7,盗,"steal, rob, pilfer",トウ,"ぬす.む, ぬす.み"
U+76DB,盛,"boom, prosper, copulate","セイ, ジョウ","も.る, さか.る, さか.ん"
U+76DC,盜,"thief, to steal",トウ,ぬす.む
U+76DE,盞,sake cup,"サン, セン",さかずき
U+76DF,盟,"alliance, oath",メイ,
U+76E1,盡,"exhaust, use up, run out of, deplete, befriend, serve","ジン, サン","つ.くす, つ.きる, つ.かす, さかづき, ことごと.く"
U+76E4,盤,"tray, shallow bowl, platter, tub, board, phonograph record",バン,
U+76E5,盥,"tub, washbasin",カン,"たらい, そそ.ぐ"
U+76E7,盧,hut,ロ,
U+76EE,目,"eye, class, look, insight, experience, care, favor","モク, ボク","め, -め, ま-"
U+76F2,盲,"blind, blind man, ignoramus",モウ,めくら
U+76F4,直,"straightaway, honesty, frankness, fix, repair","チョク, ジキ, ジカ","ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ"
U+76F8,相,"inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy","ソウ, ショウ",あい-
U+7701,省,"focus, government ministry, conserve","セイ, ショウ","かえり.みる, はぶ.く"
U+7709,眉,eyebrow,"ビ, ミ",まゆ
U+770B,看,"watch over, see",カン,み.る
U+771B,眛,dark,"マイ, バイ",くら.い
U+771E,眞,"truth, reality, Buddhist sect",シン,"ま, まこと"
U+771F,真,"true, reality, Buddhist sect",シン,"ま, ま-, まこと"
U+7720,眠,"sleep, die, sleepy",ミン,"ねむ.る, ねむ.い"
U+7724,眤,"glance at, gaze at","ケイ, ダイ","てい, い"
U+7737,眷,"look around, regard affectionately",ケン,かえり.みる
U+7738,眸,pupil of the eye,"ボウ, ム",ひとみ
U+773A,眺,"stare, watch, look at, see, scrutinize",チョウ,なが.める
U+773C,眼,eyeball,"ガン, ゲン","まなこ, め"
U+7740,着,"don, arrive, wear, counter for suits of clothing","チャク, ジャク","き.る, き.せる, つ.く, つ.ける"
U+775A,睚,"glare, angry look",ガイ,まなじり
U+775C,睜,"open eyes, stare","セイ, ジョウ",めっき
U+7761,睡,"drowsy, sleep, die",スイ,"ねむ.る, ねむ.い"
U+7762,睢,"gaze at, stare at, uninhibited, open eyes wide","キ, ケイ, ケ, スイ",みあ.げる
U+7763,督,"coach, command, urge, lead, supervise",トク,
U+7766,睦,"intimate, friendly, harmonious","ボク, モク","むつ.まじい, むつ.む, むつ.ぶ"
U+7768,睨,"glaring at, authority, power, scowl at",ゲイ,"にら.む, にら.み"
U+777E,睾,testicles,コウ,
U+77AC,瞬,"wink, blink, twinkle",シュン,"またた.く, まじろ.ぐ"
U+77BB,瞻,look at,セン,み.る
U+77BC,瞼,eyelids,ケン,まぶた
U+77BF,瞿,surname,ク,"おそ.れる, み.る"
U+77DA,矚,look intently,"ショク, ソク",み.る
U+77DB,矛,"halberd, arms, festival float","ム, ボウ",ほこ
U+77E2,矢,"dart, arrow",シ,や
U+77E3,矣,sentence particle,イ,
U+77E5,知,"know, wisdom",チ,"し.る, し.らせる"
U+77E9,矩,"ruler, carpenter's square",ク,"かね, かねざし, さしがね"
U+77ED,短,"short, brevity, fault, defect, weak point",タン,みじか.い
U+77F3,石,stone,"セキ, シャク, コク",いし
U+7802,砂,sand,"サ, シャ",すな
U+7814,研,"polish, study of, sharpen",ケン,と.ぐ
U+7815,砕,"smash, break, crush, familiar, popular",サイ,"くだ.く, くだ.ける"
U+7825,砥,"whetstone, grindstone","シ, テイ, キイ, チ","と, といし, と.ぐ, みが.く"
U+7827,砧,fulling block,チン,きぬた
U+7832,砲,"cannon, gun",ホウ,
U+7834,破,"rend, rip, tear, break, destroy, defeat, frustrate",ハ,"やぶ.る, やぶ.れる, わ.れる"
U+783A,砺,"whetstone, polish",レイ,"あらと, みが.く"
U+786B,硫,sulphur,リュウ,
U+786F,硯,inkstone,"ケン, ゲン",すずり
U+7881,碁,Go,ゴ,
U+788E,碎,"break, smash, broken, busted",サイ,"くだ.く, くだ.ける"
U+7891,碑,"tombstone, monument",ヒ,いしぶみ
U+7893,碓,pestle,"カク, タイ","たし.か, かく.たる"
U+7897,碗,"porcelain bowl, tea cup",ワン,こばち
U+78A7,碧,"blue, green","ヘキ, ヒャク",
U+78C1,磁,"magnet, porcelain",ジ,
U+78D0,磐,"rock, crag, cliff, wall (in a mine)","バン, ハン",いわ
U+78E4,磤,,"イン, オン",
U+78E8,磨,"grind, polish, scour, improve, brush (teeth)",マ,"みが.く, す.る"
U+78EF,磯,"seashore, beach",キ,いそ
U+78FD,磽,"rocky, barren","コウ, キョウ",
U+7912,礒,"rock, beach, shore","ギ, ガ","いそ, いわお"
U+7919,礙,"obstruct, hinder, block, deter","ガイ, ゲ",さまた.げる
U+792B,礫,small stones,レキ,"つぶて, こいし"
U+793A,示,"show, indicate, point out, express, display","ジ, シ",しめ.す
U+793C,礼,"salute, bow, ceremony, thanks, remuneration","レイ, ライ",
U+793E,社,"company, firm, office, association, shrine",シャ,やしろ
U+7947,祇,"national or local god, peaceful, great","ギ, キ, シ","くにつかみ, ただ, まさに"
U+7948,祈,"pray, wish",キ,いの.る
U+7950,祐,help,"ユウ, ウ",たす.ける
U+7953,祓,exorcise,"フツ, ハイ",はら.う
U+7955,祕,"mysterious, secret, abstruse",ヒ,"ひ.める, かく.す"
U+7956,祖,"ancestor, pioneer, founder",ソ,
